region,year,rate,latest rate
Ukraine,1989,1.7,-6.6
Ukraine,1990,0.5,-6.6
Ukraine,1991,-0.8,-6.6
Ukraine,1992,-2,-6.6
Ukraine,1993,-3.5,-6.6
Ukraine,1994,-4.7,-6.6
Ukraine,1995,-5.8,-6.6
Ukraine,1996,-6,-6.6
Ukraine,1997,-6.2,-6.6
Ukraine,1998,-6,-6.6
Ukraine,1999,-7.1,-6.6
Ukraine,2000,-7.6,-6.6
Ukraine,2001,-7.6,-6.6
Ukraine,2002,-7.6,-6.6
Ukraine,2003,-7.5,-6.6
Ukraine,2004,-7,-6.6
Ukraine,2005,-7.6,-6.6
Ukraine,2006,-6.4,-6.6
Ukraine,2007,-6.2,-6.6
Ukraine,2008,-5.3,-6.6
Ukraine,2009,-4.2,-6.6
Ukraine,2010,-4.4,-6.6
Ukraine,2011,-3.5,-6.6
Ukraine,2012,-3.1,-6.6
Ukraine,2013,-3.5,-6.6
Ukraine,2014,-3.9,-6.6
Ukraine,2015,-4.2,-6.6
Ukraine,2016,-4.4,-6.6
Ukraine,2017,-5.1,-6.6
Ukraine,2018,-6.1,-6.6
Ukraine,2019,-6.6,-6.6
Crimea,1989,3.9,-1.5
Crimea,1990,2.5,-1.5
Crimea,1991,0.9,-1.5
Crimea,1992,-0.7,-1.5
Crimea,1993,-2.7,-1.5
Crimea,1994,-4.3,-1.5
Crimea,1995,-5.8,-1.5
Crimea,1996,-5.8,-1.5
Crimea,1997,-5.1,-1.5
Crimea,1998,-5.6,-1.5
Crimea,1999,-5.5,-1.5
Crimea,2000,-6.6,-1.5
Crimea,2001,-6.7,-1.5
Crimea,2002,-6.7,-1.5
Crimea,2003,-6.5,-1.5
Crimea,2004,-6.1,-1.5
Crimea,2005,-6.7,-1.5
Crimea,2006,-5.3,-1.5
Crimea,2007,-4.8,-1.5
Crimea,2008,-3.7,-1.5
Crimea,2009,-2.5,-1.5
Crimea,2010,-2.7,-1.5
Crimea,2011,-2.1,-1.5
Crimea,2012,-1.1,-1.5
Crimea,2013,-1.5,-1.5
Crimea,2014,,-1.5
Crimea,2015,,-1.5
Crimea,2016,,-1.5
Crimea,2017,,-1.5
Crimea,2018,,-1.5
Crimea,2019,,-1.5
Vinnytsya,1989,-0.9,-7.9
Vinnytsya,1990,-2.1,-7.9
Vinnytsya,1991,-3.2,-7.9
Vinnytsya,1992,-3.7,-7.9
Vinnytsya,1993,-5.4,-7.9
Vinnytsya,1994,-6.2,-7.9
Vinnytsya,1995,-6.7,-7.9
Vinnytsya,1996,-7,-7.9
Vinnytsya,1997,-7,-7.9
Vinnytsya,1998,-7.3,-7.9
Vinnytsya,1999,-7.7,-7.9
Vinnytsya,2000,-8.4,-7.9
Vinnytsya,2001,-8.3,-7.9
Vinnytsya,2002,-8.1,-7.9
Vinnytsya,2003,-8.5,-7.9
Vinnytsya,2004,-7.9,-7.9
Vinnytsya,2005,-9.2,-7.9
Vinnytsya,2006,-7.7,-7.9
Vinnytsya,2007,-7.5,-7.9
Vinnytsya,2008,-6.3,-7.9
Vinnytsya,2009,-5.3,-7.9
Vinnytsya,2010,-5.5,-7.9
Vinnytsya,2011,-4.6,-7.9
Vinnytsya,2012,-4.2,-7.9
Vinnytsya,2013,-5,-7.9
Vinnytsya,2014,-4.9,-7.9
Vinnytsya,2015,-5.7,-7.9
Vinnytsya,2016,-5.8,-7.9
Vinnytsya,2017,-6.3,-7.9
Vinnytsya,2018,-7.4,-7.9
Vinnytsya,2019,-7.9,-7.9
Volyn,1989,5.2,-2.8
Volyn,1990,4,-2.8
Volyn,1991,2,-2.8
Volyn,1992,2.4,-2.8
Volyn,1993,1.4,-2.8
Volyn,1994,0.2,-2.8
Volyn,1995,-1.1,-2.8
Volyn,1996,-1,-2.8
Volyn,1997,-1.5,-2.8
Volyn,1998,-1.3,-2.8
Volyn,1999,-2.7,-2.8
Volyn,2000,-2.8,-2.8
Volyn,2001,-3.1,-2.8
Volyn,2002,-3,-2.8
Volyn,2003,-3.4,-2.8
Volyn,2004,-2.6,-2.8
Volyn,2005,-3.2,-2.8
Volyn,2006,-1.8,-2.8
Volyn,2007,-1.4,-2.8
Volyn,2008,-0.2,-2.8
Volyn,2009,0.7,-2.8
Volyn,2010,0.4,-2.8
Volyn,2011,0.8,-2.8
Volyn,2012,1.6,-2.8
Volyn,2013,1,-2.8
Volyn,2014,0.9,-2.8
Volyn,2015,-0.4,-2.8
Volyn,2016,-0.5,-2.8
Volyn,2017,-1.6,-2.8
Volyn,2018,-2.3,-2.8
Volyn,2019,-2.8,-2.8
Dnipropetrovs'k,1989,1.7,-8.9
Dnipropetrovs'k,1990,0.5,-8.9
Dnipropetrovs'k,1991,-0.8,-8.9
Dnipropetrovs'k,1992,-2.7,-8.9
Dnipropetrovs'k,1993,-4.4,-8.9
Dnipropetrovs'k,1994,-5.8,-8.9
Dnipropetrovs'k,1995,-7.2,-8.9
Dnipropetrovs'k,1996,-7.8,-8.9
Dnipropetrovs'k,1997,-7.9,-8.9
Dnipropetrovs'k,1998,-7.4,-8.9
Dnipropetrovs'k,1999,-8.6,-8.9
Dnipropetrovs'k,2000,-9.2,-8.9
Dnipropetrovs'k,2001,-8.8,-8.9
Dnipropetrovs'k,2002,-8.6,-8.9
Dnipropetrovs'k,2003,-8.4,-8.9
Dnipropetrovs'k,2004,-8.1,-8.9
Dnipropetrovs'k,2005,-9,-8.9
Dnipropetrovs'k,2006,-7.5,-8.9
Dnipropetrovs'k,2007,-7.4,-8.9
Dnipropetrovs'k,2008,-6.7,-8.9
Dnipropetrovs'k,2009,-5.2,-8.9
Dnipropetrovs'k,2010,-5.7,-8.9
Dnipropetrovs'k,2011,-4.8,-8.9
Dnipropetrovs'k,2012,-4.3,-8.9
Dnipropetrovs'k,2013,-4.6,-8.9
Dnipropetrovs'k,2014,-5,-8.9
Dnipropetrovs'k,2015,-6.3,-8.9
Dnipropetrovs'k,2016,-6.8,-8.9
Dnipropetrovs'k,2017,-7.3,-8.9
Dnipropetrovs'k,2018,-8.5,-8.9
Dnipropetrovs'k,2019,-8.9,-8.9
Donets'k,1989,0.1,-6.5
Donets'k,1990,-1.2,-6.5
Donets'k,1991,-2.5,-6.5
Donets'k,1992,-4.3,-6.5
Donets'k,1993,-6.2,-6.5
Donets'k,1994,-7.5,-6.5
Donets'k,1995,-9.7,-6.5
Donets'k,1996,-9.8,-6.5
Donets'k,1997,-9.6,-6.5
Donets'k,1998,-8.7,-6.5
Donets'k,1999,-9.9,-6.5
Donets'k,2000,-10.9,-6.5
Donets'k,2001,-10.3,-6.5
Donets'k,2002,-10.6,-6.5
Donets'k,2003,-10.3,-6.5
Donets'k,2004,-9.9,-6.5
Donets'k,2005,-10.3,-6.5
Donets'k,2006,-9.2,-6.5
Donets'k,2007,-9.1,-6.5
Donets'k,2008,-8.3,-6.5
Donets'k,2009,-7.1,-6.5
Donets'k,2010,-7.3,-6.5
Donets'k,2011,-6.7,-6.5
Donets'k,2012,-6.3,-6.5
Donets'k,2013,-6.5,-6.5
Donets'k,2014,,-6.5
Donets'k,2015,,-6.5
Donets'k,2016,,-6.5
Donets'k,2017,,-6.5
Donets'k,2018,,-6.5
Donets'k,2019,,-6.5
Zhytomyr,1989,1.5,-8.5
Zhytomyr,1990,-0.3,-8.5
Zhytomyr,1991,-1,-8.5
Zhytomyr,1992,-1.7,-8.5
Zhytomyr,1993,-2.8,-8.5
Zhytomyr,1994,-4,-8.5
Zhytomyr,1995,-4.9,-8.5
Zhytomyr,1996,-5.4,-8.5
Zhytomyr,1997,-5.9,-8.5
Zhytomyr,1998,-5.9,-8.5
Zhytomyr,1999,-7.3,-8.5
Zhytomyr,2000,-7.5,-8.5
Zhytomyr,2001,-8.5,-8.5
Zhytomyr,2002,-8.2,-8.5
Zhytomyr,2003,-8.5,-8.5
Zhytomyr,2004,-8.5,-8.5
Zhytomyr,2005,-9,-8.5
Zhytomyr,2006,-8,-8.5
Zhytomyr,2007,-7.6,-8.5
Zhytomyr,2008,-7,-8.5
Zhytomyr,2009,-5.3,-8.5
Zhytomyr,2010,-5.2,-8.5
Zhytomyr,2011,-4.1,-8.5
Zhytomyr,2012,-4.1,-8.5
Zhytomyr,2013,-4.6,-8.5
Zhytomyr,2014,-4.8,-8.5
Zhytomyr,2015,-5.7,-8.5
Zhytomyr,2016,-5.8,-8.5
Zhytomyr,2017,-6.8,-8.5
Zhytomyr,2018,-7.8,-8.5
Zhytomyr,2019,-8.5,-8.5
Transcarpathia,1989,8,-2
Transcarpathia,1990,7.6,-2
Transcarpathia,1991,6.4,-2
Transcarpathia,1992,5.8,-2
Transcarpathia,1993,4.4,-2
Transcarpathia,1994,2.9,-2
Transcarpathia,1995,1.8,-2
Transcarpathia,1996,1.7,-2
Transcarpathia,1997,1.4,-2
Transcarpathia,1998,1.2,-2
Transcarpathia,1999,-0.3,-2
Transcarpathia,2000,0.4,-2
Transcarpathia,2001,-0.4,-2
Transcarpathia,2002,-0.6,-2
Transcarpathia,2003,-0.1,-2
Transcarpathia,2004,0,-2
Transcarpathia,2005,-0.6,-2
Transcarpathia,2006,0.5,-2
Transcarpathia,2007,0.2,-2
Transcarpathia,2008,1.7,-2
Transcarpathia,2009,2.1,-2
Transcarpathia,2010,2.7,-2
Transcarpathia,2011,3.1,-2
Transcarpathia,2012,3.3,-2
Transcarpathia,2013,2.9,-2
Transcarpathia,2014,2.8,-2
Transcarpathia,2015,1,-2
Transcarpathia,2016,0.5,-2
Transcarpathia,2017,-0.4,-2
Transcarpathia,2018,-1.2,-2
Transcarpathia,2019,-2,-2
Zaporizhzhya,1989,2,-9.6
Zaporizhzhya,1990,0.5,-9.6
Zaporizhzhya,1991,-0.7,-9.6
Zaporizhzhya,1992,-2.5,-9.6
Zaporizhzhya,1993,-4.1,-9.6
Zaporizhzhya,1994,-5.2,-9.6
Zaporizhzhya,1995,-6.9,-9.6
Zaporizhzhya,1996,-7,-9.6
Zaporizhzhya,1997,-6.9,-9.6
Zaporizhzhya,1998,-7.2,-9.6
Zaporizhzhya,1999,-8.1,-9.6
Zaporizhzhya,2000,-8.7,-9.6
Zaporizhzhya,2001,-8.6,-9.6
Zaporizhzhya,2002,-8.4,-9.6
Zaporizhzhya,2003,-8.4,-9.6
Zaporizhzhya,2004,-7.8,-9.6
Zaporizhzhya,2005,-8,-9.6
Zaporizhzhya,2006,-7.2,-9.6
Zaporizhzhya,2007,-7.1,-9.6
Zaporizhzhya,2008,-6.2,-9.6
Zaporizhzhya,2009,-5.4,-9.6
Zaporizhzhya,2010,-5.8,-9.6
Zaporizhzhya,2011,-4.9,-9.6
Zaporizhzhya,2012,-4.2,-9.6
Zaporizhzhya,2013,-4.7,-9.6
Zaporizhzhya,2014,-5.1,-9.6
Zaporizhzhya,2015,-6.5,-9.6
Zaporizhzhya,2016,-7.1,-9.6
Zaporizhzhya,2017,-7.8,-9.6
Zaporizhzhya,2018,-8.9,-9.6
Zaporizhzhya,2019,-9.6,-9.6
Ivano-Frankivs'k,1989,5.4,-4
Ivano-Frankivs'k,1990,5.1,-4
Ivano-Frankivs'k,1991,3.7,-4
Ivano-Frankivs'k,1992,3.1,-4
Ivano-Frankivs'k,1993,2.4,-4
Ivano-Frankivs'k,1994,1.5,-4
Ivano-Frankivs'k,1995,0.8,-4
Ivano-Frankivs'k,1996,0.3,-4
Ivano-Frankivs'k,1997,-0.3,-4
Ivano-Frankivs'k,1998,-0.5,-4
Ivano-Frankivs'k,1999,-2,-4
Ivano-Frankivs'k,2000,-1.8,-4
Ivano-Frankivs'k,2001,-2.7,-4
Ivano-Frankivs'k,2002,-2.8,-4
Ivano-Frankivs'k,2003,-3.2,-4
Ivano-Frankivs'k,2004,-2.2,-4
Ivano-Frankivs'k,2005,-2.7,-4
Ivano-Frankivs'k,2006,-1.9,-4
Ivano-Frankivs'k,2007,-1.9,-4
Ivano-Frankivs'k,2008,-1,-4
Ivano-Frankivs'k,2009,-0.1,-4
Ivano-Frankivs'k,2010,-0.9,-4
Ivano-Frankivs'k,2011,-0.1,-4
Ivano-Frankivs'k,2012,0.2,-4
Ivano-Frankivs'k,2013,-0.5,-4
Ivano-Frankivs'k,2014,-0.6,-4
Ivano-Frankivs'k,2015,-1.5,-4
Ivano-Frankivs'k,2016,-1.9,-4
Ivano-Frankivs'k,2017,-2.9,-4
Ivano-Frankivs'k,2018,-3.5,-4
Ivano-Frankivs'k,2019,-4,-4
Kyiv,1989,1.3,-8.1
Kyiv,1990,-0.8,-8.1
Kyiv,1991,-2.4,-8.1
Kyiv,1992,-3.4,-8.1
Kyiv,1993,-5.1,-8.1
Kyiv,1994,-5.9,-8.1
Kyiv,1995,-6.9,-8.1
Kyiv,1996,-6.9,-8.1
Kyiv,1997,-7.2,-8.1
Kyiv,1998,-7.6,-8.1
Kyiv,1999,-8.5,-8.1
Kyiv,2000,-8.9,-8.1
Kyiv,2001,-9.4,-8.1
Kyiv,2002,-9,-8.1
Kyiv,2003,-8.9,-8.1
Kyiv,2004,-8.6,-8.1
Kyiv,2005,-9,-8.1
Kyiv,2006,-8,-8.1
Kyiv,2007,-7.6,-8.1
Kyiv,2008,-6.2,-8.1
Kyiv,2009,-4.7,-8.1
Kyiv,2010,-5,-8.1
Kyiv,2011,-3.9,-8.1
Kyiv,2012,-3.6,-8.1
Kyiv,2013,-3.9,-8.1
Kyiv,2014,-4.3,-8.1
Kyiv,2015,-4.7,-8.1
Kyiv,2016,-5.3,-8.1
Kyiv,2017,-6.3,-8.1
Kyiv,2018,-7.6,-8.1
Kyiv,2019,-8.1,-8.1
Kirovohrad,1989,-1.1,-9.6
Kirovohrad,1990,-1.9,-9.6
Kirovohrad,1991,-2.8,-9.6
Kirovohrad,1992,-3.8,-9.6
Kirovohrad,1993,-5.6,-9.6
Kirovohrad,1994,-6.4,-9.6
Kirovohrad,1995,-7.7,-9.6
Kirovohrad,1996,-8,-9.6
Kirovohrad,1997,-8.5,-9.6
Kirovohrad,1998,-8.3,-9.6
Kirovohrad,1999,-9.7,-9.6
Kirovohrad,2000,-10.1,-9.6
Kirovohrad,2001,-9.8,-9.6
Kirovohrad,2002,-10,-9.6
Kirovohrad,2003,-9.9,-9.6
Kirovohrad,2004,-9.7,-9.6
Kirovohrad,2005,-10.5,-9.6
Kirovohrad,2006,-8.8,-9.6
Kirovohrad,2007,-8.8,-9.6
Kirovohrad,2008,-8.4,-9.6
Kirovohrad,2009,-6.7,-9.6
Kirovohrad,2010,-7,-9.6
Kirovohrad,2011,-6.1,-9.6
Kirovohrad,2012,-5.5,-9.6
Kirovohrad,2013,-6,-9.6
Kirovohrad,2014,-6.3,-9.6
Kirovohrad,2015,-6.9,-9.6
Kirovohrad,2016,-7.7,-9.6
Kirovohrad,2017,-8.1,-9.6
Kirovohrad,2018,-8.9,-9.6
Kirovohrad,2019,-9.6,-9.6
Luhans'k,1989,0.6,-6.8
Luhans'k,1990,-0.6,-6.8
Luhans'k,1991,-1.7,-6.8
Luhans'k,1992,-4,-6.8
Luhans'k,1993,-5.9,-6.8
Luhans'k,1994,-7.5,-6.8
Luhans'k,1995,-9,-6.8
Luhans'k,1996,-10.1,-6.8
Luhans'k,1997,-10,-6.8
Luhans'k,1998,-9,-6.8
Luhans'k,1999,-10.7,-6.8
Luhans'k,2000,-11.4,-6.8
Luhans'k,2001,-10.9,-6.8
Luhans'k,2002,-10.6,-6.8
Luhans'k,2003,-10.7,-6.8
Luhans'k,2004,-10.6,-6.8
Luhans'k,2005,-10.9,-6.8
Luhans'k,2006,-9.5,-6.8
Luhans'k,2007,-9.1,-6.8
Luhans'k,2008,-8.5,-6.8
Luhans'k,2009,-7.6,-6.8
Luhans'k,2010,-7.8,-6.8
Luhans'k,2011,-7,-6.8
Luhans'k,2012,-6.4,-6.8
Luhans'k,2013,-6.8,-6.8
Luhans'k,2014,,-6.8
Luhans'k,2015,,-6.8
Luhans'k,2016,,-6.8
Luhans'k,2017,,-6.8
Luhans'k,2018,,-6.8
Luhans'k,2019,,-6.8
L'viv,1989,4.7,-4.3
L'viv,1990,3.6,-4.3
L'viv,1991,2.4,-4.3
L'viv,1992,2,-4.3
L'viv,1993,1.1,-4.3
L'viv,1994,0,-4.3
L'viv,1995,-0.8,-4.3
L'viv,1996,-1.1,-4.3
L'viv,1997,-1.9,-4.3
L'viv,1998,-1.5,-4.3
L'viv,1999,-3.3,-4.3
L'viv,2000,-3.3,-4.3
L'viv,2001,-3.7,-4.3
L'viv,2002,-3.8,-4.3
L'viv,2003,-3.8,-4.3
L'viv,2004,-3,-4.3
L'viv,2005,-3.6,-4.3
L'viv,2006,-2.9,-4.3
L'viv,2007,-2.9,-4.3
L'viv,2008,-2.4,-4.3
L'viv,2009,-1.1,-4.3
L'viv,2010,-1.6,-4.3
L'viv,2011,-0.9,-4.3
L'viv,2012,-0.6,-4.3
L'viv,2013,-0.9,-4.3
L'viv,2014,-0.9,-4.3
